model,hidden_failure_rate,hidden_failure_pct
gemini-2.0-flash,0.2204724409448819,22.04724409448819
gpt-4o-mini,0.03937007874015748,3.937007874015748
llama-2-7b-chat,0.4251968503937008,42.51968503937008
qwen2-7b-instruct,0.2992125984251969,29.92125984251969
