turns,tense,mean_success_rate,mean_success_pct
1,past,0.29133858267716534,29.133858267716533
1,present,0.15551181102362205,15.551181102362206
2,past,0.6279527559055118,62.79527559055118
2,present,0.31299212598425197,31.299212598425196
3,past,0.6850393700787402,68.50393700787401
3,present,0.3425196850393701,34.25196850393701
