model,tense,single_turn_success,two_turn_success,three_turn_success,hidden_risk_gap
gemini-2.0-flash,past,0.29133858267716534,0.6141732283464567,0.8110236220472441,0.5196850393700787
gemini-2.0-flash,present,0.16535433070866143,0.14960629921259844,0.3543307086614173,0.18897637795275588
gpt-4o-mini,past,0.14173228346456693,0.41732283464566927,0.5275590551181102,0.3858267716535433
gpt-4o-mini,present,0.031496062992125984,0.03937007874015748,0.047244094488188976,0.015748031496062992
llama-2-7b-chat,past,0.33858267716535434,0.7716535433070866,0.6614173228346457,0.3228346456692914
llama-2-7b-chat,present,0.2677165354330709,0.7401574803149606,0.5669291338582677,0.2992125984251968
qwen2-7b-instruct,past,0.3937007874015748,0.7086614173228346,0.7401574803149606,0.3464566929133858
qwen2-7b-instruct,present,0.15748031496062992,0.3228346456692913,0.4015748031496063,0.2440944881889764
